US,1775645.111974,1326200.993073,1014855.623111,782371.768106,603357.625535,461862.467582,347739.367035,254722.259819,178878.521457,117823.156822,70041.159108,34730.306378,11615.648789,-0.016713
ES,1761997.777516,1312124.737810,1004006.698702,775301.461797,598554.366180,458542.958461,345450.204893,253170.895086,177859.580556,117199.546339,69698.765035,34572.211217,11565.799201,-0.538406
EU,1775623.545410,1326183.426367,1014842.653483,782362.442317,603350.881170,461857.585612,347735.844964,254719.755163,178876.782105,117822.068236,70040.571430,34730.038413,11615.560951,-0.031719
JAP,1775317.291313,1325993.017803,1014710.863141,782265.822622,603280.333195,461807.377176,347700.328310,254695.068043,178860.151901,117811.756664,70034.936007,34727.461579,11614.741592,-0.131608
RUS,1774875.122445,1325735.135826,1014550.335588,782165.375927,603215.788657,461764.427662,347671.744167,254676.258117,178848.085169,117804.712479,70031.387429,34726.000051,11614.378002,-0.071550
EUR,1773913.989909,1325264.950579,1014312.614355,782043.343602,603151.832375,461731.259007,347655.475403,254669.101493,178845.655187,117804.199054,70031.413404,34726.123092,11614.447090,-0.053846
CHI,1775606.610179,1326183.065200,1014846.768409,782367.188242,603355.208605,461861.320231,347738.846491,254722.030304,178878.405322,117823.132606,70041.190890,34730.340354,11615.668421,-0.007312
IND,1775324.255938,1326055.460804,1014785.657405,782337.005475,603339.391559,461852.641140,347734.113008,254719.512525,178877.141094,117822.511492,70040.893076,34730.217784,11615.631035,-0.014154
MEST,1775402.079342,1326091.860195,1014802.297502,782344.387095,603342.552508,461853.942206,347734.606580,254719.688183,178877.214979,117822.489514,70040.818990,34730.159957,11615.606960,-0.016188
AFR,1778414.148740,1328699.894578,1016967.175630,784108.776626,604766.776720,462998.589449,348652.932137,255455.639836,179466.600460,118294.258647,70418.328928,35032.196017,11857.236330,193.282774
LAM,1782515.946450,1331748.521916,1019315.809100,785950.160156,606225.247365,464159.271538,349578.400933,256194.447783,180056.865598,118766.215881,70795.851828,35334.206039,12098.846000,386.569948
OHI,1775364.073713,1326044.153338,1014758.986264,782308.291786,603313.935406,461831.711397,347717.802985,254707.376512,178868.560614,117816.999342,70037.793223,34728.771082,11615.171200,-0.055590
OTH,0.105742,0.153939,0.223851,0.316609,0.429719,0.555299,0.681421,0.789334,0.854717,0.849745,0.749920,0.552575,0.288806,0.014976
