(run1: eta=1.0000001; rho=0.0050000)
damage_frac,0.009464,0.013828,0.017289,0.019531,0.020882,0.022299,0.023355,0.024319,0.025135,0.025824,0.026420,0.026902,0.027198,0.027404,0.027594,0.027871,0.028565,0.029765,0.031600,0.034579,0.039244
damages,0.995398,1.801999,2.702763,3.589243,4.445652,5.452922,6.510615,7.677708,8.933470,10.277141,11.713929,13.227255,14.764617,16.355703,18.029584,19.843499,22.034417,24.672521,27.749664,31.166765,32.357355
abatement_frac,0.000008,0.000213,0.006029,0.015631,0.016996,0.018177,0.019165,0.019929,0.020438,0.020658,0.020549,0.020081,0.019228,0.017966,0.016273,0.014130,0.011522,0.008519,0.005360,0.002428,0.000000
abatecost,0.000856,0.027757,0.942555,2.872610,3.618482,4.445033,5.342668,6.291853,7.263958,8.221049,9.111032,9.873238,10.437870,10.723035,10.632859,10.060493,8.887702,7.061311,4.706642,2.188748,0.000000
output,104.181168,128.488444,152.678698,177.311869,204.834413,234.637910,266.917722,301.741270,339.223293,379.462733,422.549440,468.578683,517.656803,569.762726,624.729791,682.067335,740.462499,797.179451,845.691795,867.960978,792.168046
income,14.072831,16.361513,18.473099,20.524642,22.818817,25.285503,27.948974,30.818480,33.907752,37.228366,40.790630,44.605087,48.683033,53.023604,57.612675,62.406942,67.289430,72.016979,76.009811,77.666568,70.613116
investment,34.670242,40.799280,47.148523,53.632707,61.461272,69.940419,79.145741,89.060062,99.699400,111.055249,123.093266,135.745007,148.875617,162.124351,174.753382,185.205989,190.051006,181.756814,141.778331,14.512803,-0.000008
consumption,69.510926,87.689164,105.530175,123.679163,143.373141,164.697491,187.771981,212.681208,239.523893,268.407484,299.456174,332.833676,368.781186,407.638374,449.976409,496.861346,550.411493,615.422637,703.913464,853.448175,792.168054
cpc,9.389562,11.166198,12.768444,14.316416,15.971953,17.748449,19.661618,21.722290,23.942097,26.332947,28.907874,31.683206,34.682026,37.935889,41.496892,45.461196,50.018571,55.597117,63.266937,76.367939,70.613117
utility,-9999997.754563,-9999997.581270,-9999997.447185,-9999997.332755,-9999997.223327,-9999997.117864,-9999997.015493,-9999996.915823,-9999996.818524,-9999996.723341,-9999996.630048,-9999996.538375,-9999996.447940,-9999996.358264,-9999996.268543,-9999996.177303,-9999996.081768,-9999995.976031,-9999995.846799,-9999995.658599,-9999995.736946
welfare,-1624207226169.231

co2_emissions_dual,-14.603726,-14.108685,-13.514602,-12.854033,-12.151401,-11.417287,-10.661082,-9.888725,-9.104656,-8.312603,-7.515095,-6.714607,-5.914819,-5.118297,-4.326674,-3.541061,-2.761064,-1.993285,-1.260612,-0.603344,0.000000
ch4_emissions_dual,-0.257622,-0.270070,-0.281635,-0.290617,-0.295792,-0.297681,-0.297373,-0.295251,-0.291533,-0.286343,-0.279432,-0.270723,-0.259861,-0.246331,-0.229267,-0.207441,-0.179136,-0.143260,-0.100568,-0.054033,-0.000000
consumption_dual,106.501218,87.350276,74.507725,64.814867,56.665749,49.737956,43.792402,38.661802,34.213319,30.340841,26.957562,23.990391,21.376258,19.061433,16.996518,15.132279,13.414782,11.771514,10.089681,8.152914,8.600194
scc,137.122609,161.518471,181.385218,198.319168,214.439914,229.548733,243.445877,255.775016,266.114294,273.973966,278.774932,279.887216,276.700272,268.515687,254.562256,234.006939,205.822372,169.331062,124.940576,74.003406,-0.000000
scch4,2418.954873,3091.805242,3779.947130,4483.797811,5219.936197,5984.991353,6790.504912,7636.750819,8521.037453,9437.524467,10365.609619,11284.650622,12156.539293,12922.974729,13489.058162,13708.470645,13353.637158,12170.006896,9967.410871,6627.410335,0.000000
