US,22.041661,25.979546,28.968751,31.133285,32.502854,32.993356,32.467712,30.766765,27.772604,23.488446,17.981145,11.664142,5.356249,-0.000003
ES,0.422405,0.210602,0.176328,0.195468,0.208799,0.216622,0.216855,0.208475,0.189533,0.160489,0.121711,0.076404,0.032045,-0.000001
EU,10.609955,12.181719,13.613667,14.872004,15.913668,16.609076,16.787938,16.294551,14.963453,12.835911,9.986891,6.583182,3.062786,-0.000004
JAP,14.619481,17.269450,19.401650,21.085703,22.317568,23.095343,23.184597,22.352493,20.387260,17.380180,13.465006,8.847807,4.116418,-0.000020
RUS,4.725451,5.783580,6.773253,7.706476,8.560757,9.255235,9.662341,9.642083,9.061083,7.927367,6.290382,4.221430,2.004400,-0.000005
EUR,1.337193,1.773508,2.294837,2.876219,3.485261,4.073864,4.575056,4.896432,4.921267,4.578824,3.834275,2.699290,1.331621,-0.000003
CHI,1.806425,2.350245,2.963688,3.610426,4.246194,4.824500,5.269114,5.491234,5.373503,4.869324,3.972157,2.723693,1.308563,-0.000000
IND,0.495698,0.688032,0.943342,1.257893,1.614519,1.984280,2.326353,2.585545,2.696793,2.598240,2.238138,1.611413,0.809099,-0.000000
MEST,2.609280,3.287200,3.986588,4.680630,5.311215,5.823211,6.156845,6.248275,6.036064,5.433431,4.392239,2.984894,1.424010,-0.000001
AFR,0.281283,0.395389,0.552477,0.753805,0.988158,1.233518,1.465774,1.650336,1.748221,1.708353,1.483058,1.071864,0.540161,0.004137
LAM,2.751393,3.561115,4.467715,5.421102,6.354039,7.186391,7.815638,8.115801,7.962064,7.265436,5.966535,4.124043,2.012929,0.029599
OHI,14.470797,17.163734,19.525989,21.476876,22.928926,23.747879,23.796238,22.859269,20.785298,17.653849,13.595811,8.862126,4.092695,-0.000008
OTH,0.533768,0.749667,1.045464,1.417888,1.849661,2.305901,2.739455,3.081611,3.251915,3.167019,2.749888,1.995222,1.015075,0.017522
