US,1759247.749280,1312031.286935,1003582.257432,773976.706205,597405.506854,457749.679881,344947.207357,252862.727695,177675.735267,117086.103035,69630.348709,34538.112860,11554.571894,-0.016709
ES,1745726.408489,1298105.364291,992855.442739,766985.068483,592652.829134,454462.534608,342678.549222,251324.145649,176664.566905,116466.932565,69290.243883,34381.014858,11505.019254,-0.538410
EU,1759226.390424,1312013.914748,1003569.437796,773967.484668,597398.833283,457744.845468,344943.717040,252860.243982,177674.009465,117085.022389,69629.765050,34537.846593,11554.484533,-0.031711
JAP,1758922.966533,1311825.542993,1003439.123312,773871.925642,597329.013273,457695.116455,344908.513304,252835.758239,177657.505668,117074.784213,69624.167262,34535.285804,11553.669687,-0.131574
RUS,1758484.881891,1311570.417794,1003280.384651,773772.565229,597265.114074,457652.556743,344880.164018,252817.089120,177645.522194,117067.785225,69620.640038,34533.832666,11553.308257,-0.071537
EUR,1757532.630816,1311105.261753,1003045.324875,773651.873136,597201.820137,457619.708356,344864.042430,252809.994332,177643.113412,117067.277288,69620.666873,34533.955431,11553.377135,-0.053835
CHI,1759209.610603,1312013.557244,1003573.506431,773972.177985,597403.115292,457748.543595,344946.691401,252862.500030,177675.619999,117086.078999,69630.380306,34538.146660,11554.591454,-0.007310
IND,1758929.868163,1311887.319699,1003513.087777,773942.337498,597387.472143,457739.955878,344942.005542,252860.006551,177674.367589,117085.463506,69630.085062,34538.025082,11554.554326,-0.014149
MEST,1759006.972059,1311923.329902,1003529.538349,773949.633296,597390.595812,457741.240905,344942.492322,252860.179265,177674.440045,117085.441229,69630.011261,34537.967538,11554.530368,-0.016183
AFR,1762023.689196,1314533.550542,1005695.378543,775714.425836,598814.994020,458885.966985,345860.852594,253596.145453,178263.831074,117557.212318,70007.521820,34840.003742,11796.159758,193.282784
LAM,1766120.073221,1317579.652840,1008042.896712,777555.339696,600273.259261,460046.554584,346786.279469,254334.936160,178854.090219,118029.167499,70385.043874,35142.013456,12037.769349,386.569959
OHI,1758969.316802,1311876.132130,1003486.707788,773913.928410,597362.268302,457719.217807,344925.833590,252847.966012,177665.850313,117079.989537,69627.005439,34536.587245,11554.097039,-0.055576
OTH,0.104771,0.152307,0.221420,0.313390,0.425890,0.551076,0.676999,0.784890,0.850431,0.845879,0.746790,0.550449,0.287800,0.014998
