US,63690703.613507,54810710.756460,45973137.409899,37747400.028361,30436536.383651,24057897.331535,18535247.191915,13796483.388236,9788105.754471,6480671.846274,3854594.969426,1904057.629375,632241.669732,-0.481488
ES,63201080.732890,54228825.414967,45481622.114640,37406281.315097,30194263.659029,23884998.538798,18413204.955457,13712395.565581,9732258.373888,6446259.383290,3835628.869906,1895262.207108,629400.096751,-154.769359
EU,63689930.192850,54809984.810114,45972549.969794,37746950.153940,30436196.293877,24057643.210449,18535059.652899,13796347.932444,9788010.792643,6480612.196326,3854562.867932,1904043.203131,632237.189220,-0.928189
JAP,63678945.539331,54802115.962096,45966580.997654,37742290.437605,30432640.050391,24055030.722225,18533169.341630,13795013.494779,9787103.381695,6480047.525685,3854255.196337,1903904.456730,632195.299077,-3.140523
RUS,63663085.032208,54791457.563629,45959308.832307,37737443.962284,30429383.816001,24052793.097699,18531645.088190,13793993.800566,9786441.975554,6479658.748007,3854058.416375,1903822.682491,632173.679914,-2.059937
EUR,63628609.605443,54772024.776171,45948540.272871,37731556.974580,30426158.306421,24051065.788969,18530777.829162,13793605.616639,9786308.092356,6479629.373396,3854058.596679,1903828.102334,632176.041605,-2.657390
CHI,63689323.130601,54809970.155192,45972736.522625,37747179.132890,30436414.453309,24057837.491564,18535219.312330,13796470.776916,9788099.183104,6480670.266632,3854596.445466,1904059.200643,632242.429610,-0.306360
IND,63679195.535594,54804696.633628,45969968.946802,37745723.952461,30435617.643638,24057386.337128,18534967.726817,13796334.944611,9788030.413434,6480636.432116,3854580.338235,1904052.735176,632240.634232,-0.440049
MEST,63681986.814208,54806200.880506,45970722.471679,37746079.742563,30435776.779946,24057453.885156,18534993.909512,13796344.405706,9788034.450423,6480635.254780,3854576.322673,1904049.646644,632239.422164,-0.431324
AFR,63663967.724128,54797766.657559,45966869.899188,37744359.405862,30434976.646738,24057065.984301,18534814.498419,13796267.940845,9788006.447497,6480626.866638,3854574.683308,1904049.780497,632239.469446,-0.713329
LAM,63684954.340855,54807501.247599,45971320.953107,37746343.277152,30435898.414457,24057510.359106,18535014.612552,13796346.016283,9788027.026082,6480629.549410,3854574.591225,1904049.374428,632239.364769,-0.654422
OHI,63680623.439274,54804229.081049,45968760.394954,37744338.385462,30434333.601251,24056296.528663,18534098.958397,13795678.305389,9787561.613047,6480333.970813,3854410.479353,1903974.198562,632216.466502,-1.634572
OTH,3.776032,6.332033,10.091961,15.204430,21.580735,28.799232,36.159478,42.544466,46.501475,46.396963,40.840904,29.758388,15.037959,-0.000011
