US,64142076.189879,55476365.524973,46789036.919901,38614802.991918,31270007.925882,24803033.352773,19160946.886710,14289149.823009,10150255.776226,6725950.781600,4002552.176502,1977726.122478,656795.479443,-0.482090
ES,63649033.457422,54887517.149847,46289021.273448,38265957.325178,31021086.530145,24624672.991822,19034624.664214,14201878.076708,10092177.069889,6690113.495617,3982783.336358,1968555.331005,653835.650452,-154.764453
EU,64141297.211433,55475630.680715,46788438.980365,38614342.851139,31269658.526731,24802771.249121,19160752.805504,14289009.258033,10150157.022274,6725888.649002,4002518.700917,1977711.072629,656790.814206,-0.929498
JAP,64130234.992440,55467667.403461,46782365.556000,38609577.113893,31266004.951053,24800076.840287,19158796.873707,14287624.914554,10149213.788409,6725300.796043,4002198.052767,1977566.391480,656747.163792,-3.144904
RUS,64114262.257031,55456880.174974,46774965.002947,38604619.629163,31262659.555234,24797769.677841,19157220.814326,14286568.435511,10148527.590419,6724897.090363,4001993.610120,1977481.400549,656724.669616,-2.061976
EUR,64079543.331516,55437213.997761,46764007.936779,38598598.742340,31259345.785650,24795988.111363,19156323.215866,14286165.385331,10148388.026849,6724866.172574,4001993.580491,1977486.952521,656727.118119,-2.660382
CHI,64140685.876685,55475615.838692,46788628.758205,38614576.996779,31269882.634469,24802971.629046,19160918.038505,14289136.741780,10150248.947613,6725949.137300,4002553.711948,1977727.756283,656796.266022,-0.306749
IND,64130487.249250,55470280.417388,46785813.932316,38613089.291505,31269064.092392,24802506.097862,19160657.354105,14288995.441025,10150177.129497,6725913.673389,4002536.780116,1977720.945220,656794.375262,-0.440852
MEST,64133298.124178,55471802.027938,46786580.028404,38613452.860431,31269227.516963,24802575.839470,19160684.582837,14289005.405165,10150181.454068,6725912.537206,4002532.645758,1977717.746104,656793.116225,-0.432023
AFR,64139140.589661,55482462.686266,46798018.570550,38623980.517483,31278235.132211,24810039.396358,19166789.789108,14293958.747525,10154178.509182,6729124.778531,4005107.760338,1979779.386914,658442.400178,1318.679660
LAM,64184278.244867,55511512.910510,46817905.861868,38638296.565948,31289012.279761,24818362.230917,19173288.716662,14299073.358046,10158226.809853,6732349.063862,4007684.802064,1981840.611716,660091.561463,2638.132826
OHI,64131924.792032,55469805.854596,46784583.033011,38611671.607081,31267744.826072,24801382.335609,19159758.775890,14288314.612764,10149690.134141,6725599.016506,4002359.888819,1977639.110049,656769.207904,-1.636830
OTH,3.806368,6.416162,10.284234,15.572287,22.188223,29.690861,37.341291,43.962338,48.047989,47.924627,42.173564,30.734891,15.572254,0.104752
