US,1868242.776944,1404757.514533,1080429.082622,835976.465598,646072.467394,494872.819859,372298.585950,272214.005282,190700.474424,125273.021065,74264.053133,36723.970954,12251.568021,-0.016752
ES,1853882.326338,1389844.915009,1068869.552842,828409.051952,640915.151221,491301.810635,369834.382869,270544.921652,189605.866830,124604.576085,73898.009278,36555.441880,12198.594294,-0.538381
EU,1868220.036298,1404738.864907,1080415.239045,835966.479279,646065.225599,494867.568408,372294.794681,272211.310083,190698.605039,125271.853317,74263.424332,36723.685331,12251.475182,-0.031803
JAP,1867897.795339,1404537.138278,1080274.858317,835863.122452,645989.533654,494813.606600,372256.604500,272184.779229,190680.756976,125260.808544,74257.403661,36720.941759,12250.608557,-0.131954
RUS,1867432.559994,1404263.958784,1080103.922927,835755.752200,645920.379550,494767.549852,372225.969563,272164.652846,190667.875265,125253.308509,74253.635755,36719.393225,12250.222487,-0.071683
EUR,1866421.260554,1403765.831598,1079850.710975,835625.208722,645851.749622,494731.883719,372208.452778,272156.936673,190665.244370,125252.741367,74253.653014,36719.519015,12250.293706,-0.053960
CHI,1868202.223378,1404738.483401,1080419.623303,835971.558381,646069.871926,494871.586243,372298.026281,272213.758786,190700.349864,125272.995020,74264.086803,36724.006756,12251.588409,-0.007329
IND,1867905.108884,1404603.252076,1080354.477356,835939.218447,646052.853299,494862.216380,372292.902178,272211.027095,190698.975323,125272.318879,74263.762881,36723.873856,12251.548302,-0.014202
MEST,1867987.001624,1404641.831644,1080372.223857,835947.137188,646056.264913,494863.631884,372293.446710,272211.226138,190699.061583,125272.299492,74263.685826,36723.813117,12251.523008,-0.016237
AFR,1870972.807464,1407237.678894,1082531.497383,837708.984720,647479.285476,496007.683627,373211.488902,272947.051052,191288.395905,125744.049676,74641.189450,37025.847614,12493.152141,193.282673
LAM,1875105.197212,1410300.390249,1084886.629406,839553.324766,648939.167067,497169.070017,374137.293209,273686.005390,191878.714331,126216.026121,75018.720836,37327.860912,12734.762692,386.569847
OHI,1867947.019443,1404591.311503,1080326.117379,835908.553498,646025.587496,494839.761964,372275.396637,272198.008627,190689.782467,125266.424206,74260.455722,36722.335045,12251.061787,-0.055733
OTH,0.111222,0.162944,0.237972,0.337407,0.458177,0.591237,0.723223,0.834229,0.899295,0.890264,0.782635,0.574616,0.299149,0.014744
