US,64831451.016669,56049868.039831,47208131.477211,38880855.254068,31414615.697534,24860967.602036,19161077.601801,14257402.713567,10107241.231053,6685131.525361,3971609.974637,1959466.408675,649863.076379,-0.482019
ES,64333090.214833,55454892.113504,46703463.022668,38529385.175594,31164342.430460,24682036.015930,19034642.060385,14170257.628868,10049380.186932,6649505.803856,3951997.504576,1950384.810914,646935.993182,-154.766810
EU,64830663.265418,56049125.229633,47207527.836087,38880391.643154,31414264.398227,24860704.640503,19160883.324357,14257262.327707,10107142.823250,6685069.743343,3971576.755448,1959451.501419,649858.460450,-0.929342
JAP,64819481.937620,56041079.007005,47201398.725819,38875591.115910,31410591.761505,24858002.011092,19158925.848572,14255880.024646,10106203.037173,6684485.264838,3971258.579454,1959308.197357,649815.284965,-3.144396
RUS,64803337.421478,56030179.926817,47193931.294264,38870598.801097,31407230.329557,24855689.038286,19157349.499558,14254825.737805,10105519.682597,6684083.997499,3971055.725206,1959224.001650,649793.038387,-2.061737
EUR,64768244.750184,56010309.033760,47182873.859900,38864533.934344,31403899.134078,24853901.846208,19156450.994918,14254423.122030,10105380.532881,6684053.220622,3971055.693650,1959229.506833,649795.459718,-2.660027
CHI,64830045.392022,56049110.244019,47207719.377239,38880627.543966,31414489.733171,24860905.687588,19161048.733822,14257389.655642,10107234.430813,6685129.892706,3971611.499776,1959468.028352,649863.855872,-0.306701
IND,64819736.644136,56043718.553956,47204877.809588,38879128.050745,31413666.184695,24860438.225528,19160787.516173,14257248.378971,10107162.792161,6685094.606744,3971594.698327,1959461.287989,649861.988788,-0.440755
MEST,64822577.853119,56045256.302091,47205651.355277,38879494.700054,31413830.791066,24860508.401095,19160814.904590,14257258.404238,10107167.134160,6685093.486914,3971590.596056,1959458.117684,649860.743072,-0.431940
AFR,64828224.419059,56055827.174241,47217052.908706,38890008.576661,31422833.432991,24867970.287229,19166919.690265,14262211.717968,10111164.234339,6688305.760096,3974165.723310,1961519.760121,651510.026359,1318.679876
LAM,64873590.356848,56084981.300869,47236983.297815,38904340.898001,31433616.634258,24876295.275960,19173419.254473,14267326.466871,10115212.567410,6691530.060784,3976742.762846,1963580.978483,653159.183485,2638.132973
OHI,64821189.904951,56043239.713112,47203636.542328,38877700.931501,31412340.755392,24859311.529198,19159888.542663,14256568.729008,10106677.654703,6684781.779824,3971419.171165,1959380.226770,649837.092982,-1.636564
OTH,3.847083,6.481320,10.371671,15.666543,22.264962,29.719617,37.286936,43.804488,47.794534,47.607817,41.850737,30.475448,15.432920,0.105026
